date,portfolio_return,valid_stocks,total_stocks,benchmark_return,cumulative_return,cumulative_benchmark,excess_return
2010-05-01,-0.088233,103,103,-0.095883,0.911767,0.904117,0.007650
2010-06-01,-0.083742,103,103,-0.075792,0.835414,0.835592,-0.007950
2010-07-01,0.161726,103,103,0.119302,0.970522,0.935280,0.042424
2010-08-01,0.050469,102,103,0.011970,1.019503,0.946475,0.038499
2010-09-01,0.012090,119,119,0.011153,1.031828,0.957031,0.000937
2010-10-01,0.135735,119,119,0.151388,1.171883,1.101914,-0.015653
2010-11-01,-0.036566,114,114,-0.071891,1.129033,1.022697,0.035325
2010-12-01,0.005437,114,114,-0.002783,1.135172,1.019850,0.008220
2011-01-01,-0.017643,114,114,-0.016543,1.115143,1.002979,-0.001100
2011-02-01,0.091300,113,114,0.052998,1.216956,1.056135,0.038302
2011-03-01,-0.004678,110,114,-0.005022,1.211263,1.050831,0.000344
2011-04-01,-0.033073,113,114,-0.009484,1.171203,1.040865,-0.023589
2011-05-01,-0.079074,124,126,-0.059874,1.078592,0.978544,-0.019200
2011-06-01,0.045533,124,126,0.014169,1.127704,0.992409,0.031364
2011-07-01,-0.001855,126,126,-0.023656,1.125611,0.968933,0.021801
2011-08-01,-0.048537,126,126,-0.042159,1.070978,0.928084,-0.006378
2011-09-01,-0.115098,123,123,-0.093239,0.947710,0.841550,-0.021859
2011-10-01,0.040290,123,123,0.044147,0.985893,0.878702,-0.003857
2011-11-01,-0.070960,142,143,-0.064479,0.915934,0.822044,-0.006481
2011-12-01,-0.118199,143,143,-0.069712,0.807671,0.764738,-0.048487
2012-01-01,0.035214,143,143,0.050526,0.836113,0.803377,-0.015312
2012-02-01,0.109018,143,143,0.068938,0.927264,0.858760,0.040080
2012-03-01,-0.077274,143,143,-0.068045,0.855610,0.800326,-0.009229
2012-04-01,0.082207,143,143,0.069762,0.925948,0.856158,0.012445
2012-05-01,0.016734,140,142,0.002241,0.941443,0.858077,0.014493
2012-06-01,-0.079922,141,142,-0.064752,0.866201,0.802515,-0.015170
2012-07-01,-0.076477,141,142,-0.052279,0.799956,0.760560,-0.024198
2012-08-01,-0.023488,140,142,-0.054890,0.781166,0.718813,0.031402
2012-09-01,0.016498,133,135,0.040020,0.794054,0.747580,-0.023522
2012-10-01,-0.003695,133,135,-0.016696,0.791120,0.735098,0.013001
2012-11-01,-0.080966,127,128,-0.051072,0.727066,0.697555,-0.029894
2012-12-01,0.184632,126,128,0.179136,0.861306,0.822512,0.005496
2013-01-01,0.054847,126,128,0.064975,0.908546,0.875955,-0.010128
2013-02-01,0.021302,127,128,-0.005045,0.927900,0.871536,0.026347
2013-03-01,-0.055317,125,128,-0.066675,0.876571,0.813426,0.011358
2013-04-01,-0.036096,127,128,-0.019148,0.844930,0.797851,-0.016948
2013-05-01,0.105176,117,117,0.065018,0.933797,0.849725,0.040158
2013-06-01,-0.164274,115,117,-0.155687,0.780398,0.717434,-0.008587
2013-07-01,0.042450,116,117,-0.003462,0.813526,0.714950,0.045912
2013-08-01,0.085682,116,117,0.055124,0.883231,0.754361,0.030558
2013-09-01,0.038890,139,140,0.041111,0.917580,0.785374,-0.002221
2013-10-01,0.007988,139,140,-0.014661,0.924909,0.773860,0.022649
2013-11-01,0.054642,160,160,0.027478,0.975448,0.795124,0.027164
2013-12-01,-0.017673,159,160,-0.044658,0.958209,0.759615,0.026985
2014-01-01,-0.027796,158,160,-0.054753,0.931575,0.718024,0.026957
2014-02-01,0.025067,159,160,-0.010660,0.954927,0.710370,0.035727
2014-03-01,-0.004856,160,160,-0.014991,0.950289,0.699721,0.010135
2014-04-01,-0.007761,160,160,0.005756,0.942914,0.703748,-0.013517
2014-05-01,0.006008,159,162,-0.001017,0.948579,0.703032,0.007025
2014-06-01,0.021767,158,162,0.004013,0.969227,0.705854,0.017754
2014-07-01,0.103197,157,162,0.085507,1.069248,0.766209,0.017690
2014-08-01,0.042090,158,162,-0.005091,1.114252,0.762308,0.047181
2014-09-01,0.119582,180,186,0.048198,1.247497,0.799050,0.071384
2014-10-01,0.029593,179,186,0.023393,1.284414,0.817742,0.006200
2014-11-01,0.079294,194,199,0.119799,1.386261,0.915707,-0.040505
2014-12-01,0.102597,194,199,0.258075,1.528486,1.152028,-0.155478
2015-01-01,0.052165,194,199,-0.028105,1.608221,1.119650,0.080270
2015-02-01,0.053257,191,199,0.040314,1.693869,1.164788,0.012943
2015-03-01,0.198397,192,199,0.133888,2.029928,1.320739,0.064509
2015-04-01,0.165814,192,199,0.172463,2.366519,1.548518,-0.006649
2015-05-01,0.145131,179,187,0.019146,2.709974,1.578166,0.125985
2015-06-01,-0.049311,177,187,-0.075985,2.576343,1.458249,0.026674
2015-07-01,-0.156609,167,187,-0.146725,2.172865,1.244287,-0.009884
2015-08-01,-0.148734,166,187,-0.117946,1.849686,1.097528,-0.030788
2015-09-01,-0.048888,184,200,-0.048592,1.759259,1.044197,-0.000296
2015-10-01,0.172656,188,200,0.103383,2.063006,1.152150,0.069273
2015-11-01,0.067817,166,171,0.009149,2.202914,1.162691,0.058668
2015-12-01,0.071928,164,171,0.046151,2.361364,1.216350,0.025777
2016-01-01,-0.274817,159,171,-0.210376,1.712422,0.960459,-0.064441
2016-02-01,-0.013189,162,171,-0.023293,1.689836,0.938087,0.010104
2016-03-01,0.162119,162,171,0.118375,1.963791,1.049133,0.043744
