调入日期,accper,stkcd,shortname,indnme1,ROEttm,PB,流通市值,总市值
2010-05-01,2009-12-31,000528,柳工,专用设备制造业,0.256657,3.439308,14127664.15,14128007.74
2010-05-01,2009-12-31,000680,山推股份,专用设备制造业,0.14252,2.815996,8045955.44,9611022.95
2010-05-01,2009-12-31,002323,中联电气,专用设备制造业,0.130531,4.012397,681576.0,3357573.2
2010-05-01,2009-12-31,600055,万东医疗,专用设备制造业,0.13082,3.95514,2209954.5,2209954.5
2010-05-01,2009-12-31,600150,中国船舶,专用设备制造业,0.181116,3.363734,20437400.92,51573400.92
2010-05-01,2009-12-31,600388,龙净环保,专用设备制造业,0.169034,3.540557,5734780.0,7139286.0
2010-05-01,2009-12-31,000428,华天酒店,住宿业,0.112472,3.296318,2625314.18,4811274.0
2010-05-01,2009-12-31,000548,湖南投资,公共设施管理业,0.082517,3.531391,3973871.5,4987165.95
2010-05-01,2009-12-31,002282,博深工具,其他制造业,0.110002,3.561736,689192.0,2753592.0
2010-05-01,2009-12-31,600210,紫江企业,其他制造业,0.209487,3.082245,11292746.2,11292746.2
2010-05-01,2009-12-31,002245,澳洋顺昌,其他服务业,0.103319,3.323153,610746.48,1948032.0
2010-05-01,2009-12-31,000876,新希望,农副食品加工业,0.13043,2.254798,10208696.63,10427345.29
2010-05-01,2009-12-31,002157,正邦科技,农副食品加工业,0.113512,4.175908,1146506.0,2717460.97
2010-05-01,2009-12-31,002311,海大集团,农副食品加工业,0.125554,4.019916,1681792.0,8408960.0
2010-05-01,2009-12-31,600238,海南椰岛,农副食品加工业,0.217709,4.196821,2472064.74,2644380.0
2010-05-01,2009-12-31,000422,湖北宜化,化学原料和化学制品制造业,0.13146,3.147555,11578114.07,11579771.41
2010-05-01,2009-12-31,000683,远兴能源,化学原料和化学制品制造业,0.340578,2.983199,6956424.12,8809385.77
2010-05-01,2009-12-31,000950,建峰化工,化学原料和化学制品制造业,0.12426,3.16451,1617858.4,7241478.75
2010-05-01,2009-12-31,600486,扬农化工,化学原料和化学制品制造业,0.126877,3.247089,3099948.91,5190144.5
2010-05-01,2009-12-31,600889,南京化纤,化学纤维制造业,0.090972,3.064686,2502614.65,2502614.65
2010-05-01,2009-12-31,000597,东北制药,医药制造业,0.262441,4.279949,7923060.62,8789217.25
2010-05-01,2009-12-31,000623,吉林敖东,医药制造业,0.236761,4.299067,24922054.37,28203478.54
