rebalance_date,stkcd
2012-05-01,600166
2012-05-01,600170
2012-05-01,600177
2012-05-01,600183
2012-05-01,600185
2012-05-01,600196
2012-05-01,600208
2012-05-01,600210
2012-05-01,600221
2012-05-01,600233
2012-05-01,600240
2012-05-01,600266
2012-05-01,600295
2012-05-01,600350
2012-05-01,600375
2012-05-01,600376
2012-05-01,600377
2012-05-01,600382
2012-05-01,600383
2012-05-01,600409
2012-05-01,600425
2012-05-01,600480
2012-05-01,600487
2012-05-01,600507
2012-05-01,600508
2012-05-01,600527
2012-05-01,600561
2012-05-01,600581
2012-05-01,600585
2012-05-01,600635
2012-05-01,600668
2012-05-01,600675
2012-05-01,600677
2012-05-01,600684
2012-05-01,600686
2012-05-01,600704
2012-05-01,600739
2012-05-01,600741
2012-05-01,600742
2012-05-01,600743
2012-05-01,600755
2012-05-01,600761
2012-05-01,600791
2012-05-01,600801
2012-05-01,600815
2012-05-01,600827
2012-05-01,600835
2012-05-01,600897
2012-05-01,600987
2012-05-01,601001
2012-05-01,601006
2012-05-01,601009
2012-05-01,601107
2012-05-01,601111
2012-05-01,601117
2012-05-01,601166
2012-05-01,601169
2012-05-01,601222
2012-05-01,601233
2012-05-01,601288
2012-05-01,601318
2012-05-01,601328
2012-05-01,601398
2012-05-01,601567
2012-05-01,601668
2012-05-01,601669
2012-05-01,601677
2012-05-01,601766
2012-05-01,601799
2012-05-01,601818
2012-05-01,601857
2012-05-01,601899
2012-05-01,601939
2012-05-01,601988
2012-05-01,601989
2012-05-01,601992
2012-05-01,601998
2013-05-01,000001
2013-05-01,000002
2013-05-01,000022
2013-05-01,000032
2013-05-01,000042
2013-05-01,000043
2013-05-01,000402
2013-05-01,000404
2013-05-01,000411
2013-05-01,000422
2013-05-01,000425
2013-05-01,000539
2013-05-01,000552
2013-05-01,000560
2013-05-01,000620
2013-05-01,000666
2013-05-01,000679
2013-05-01,000700
2013-05-01,000701
2013-05-01,000726
2013-05-01,000731
2013-05-01,000778
2013-05-01,000791
2013-05-01,000850
2013-05-01,000863
2013-05-01,000876
2013-05-01,000881
2013-05-01,000900
2013-05-01,000905
2013-05-01,000981
2013-05-01,001872
2013-05-01,001914
2013-05-01,002085
2013-05-01,002133
2013-05-01,002142
2013-05-01,002181
2013-05-01,002535
2013-05-01,002666
2013-05-01,002681
2013-05-01,002682
2013-05-01,002689
2013-05-01,300100
2013-05-01,300240
2013-05-01,600000
2013-05-01,600011
2013-05-01,600012
2013-05-01,600015
2013-05-01,600016
2013-05-01,600018
2013-05-01,600021
2013-05-01,600028
2013-05-01,600036
2013-05-01,600039
2013-05-01,600060
2013-05-01,600067
2013-05-01,600068
2013-05-01,600070
2013-05-01,600077
2013-05-01,600104
2013-05-01,600115
2013-05-01,600120
2013-05-01,600138
2013-05-01,600153
2013-05-01,600157
2013-05-01,600166
2013-05-01,600170
2013-05-01,600177
2013-05-01,600185
2013-05-01,600196
2013-05-01,600246
2013-05-01,600266
2013-05-01,600270
2013-05-01,600284
2013-05-01,600350
2013-05-01,600376
2013-05-01,600377
2013-05-01,600382
2013-05-01,600383
2013-05-01,600397
2013-05-01,600469
2013-05-01,600487
2013-05-01,600507
2013-05-01,600508
2013-05-01,600528
2013-05-01,600561
2013-05-01,600578
2013-05-01,600582
2013-05-01,600621
2013-05-01,600622
2013-05-01,600628
2013-05-01,600652
2013-05-01,600655
2013-05-01,600686
2013-05-01,600704
2013-05-01,600708
2013-05-01,600723
2013-05-01,600741
2013-05-01,600742
2013-05-01,600748
2013-05-01,600761
2013-05-01,600791
2013-05-01,600795
2013-05-01,600811
2013-05-01,600820
2013-05-01,600835
2013-05-01,600858
2013-05-01,600863
2013-05-01,600875
2013-05-01,600897
2013-05-01,600900
2013-05-01,600969
2013-05-01,600987
2013-05-01,601000
2013-05-01,601006
2013-05-01,601009
2013-05-01,601088
2013-05-01,601107
2013-05-01,601166
2013-05-01,601169
2013-05-01,601186
2013-05-01,601222
2013-05-01,601288
2013-05-01,601299
2013-05-01,601313
2013-05-01,601318
2013-05-01,601328
2013-05-01,601398
2013-05-01,601518
2013-05-01,601567
2013-05-01,601608
2013-05-01,601668
2013-05-01,601669
2013-05-01,601727
2013-05-01,601800
2013-05-01,601818
2013-05-01,601857
2013-05-01,601899
2013-05-01,601939
2013-05-01,601965
2013-05-01,601988
2013-05-01,601991
2013-05-01,601992
2013-05-01,601998
2013-05-01,603123
2014-05-01,000001
2014-05-01,000002
2014-05-01,000006
2014-05-01,000024
2014-05-01,000030
2014-05-01,000031
2014-05-01,000039
2014-05-01,000043
2014-05-01,000069
2014-05-01,000090
2014-05-01,000100
2014-05-01,000301
2014-05-01,000338
2014-05-01,000402
2014-05-01,000404
2014-05-01,000411
2014-05-01,000415
2014-05-01,000417
2014-05-01,000418
2014-05-01,000517
2014-05-01,000531
2014-05-01,000533
2014-05-01,000534
2014-05-01,000537
2014-05-01,000539
2014-05-01,000543
2014-05-01,000584
2014-05-01,000600
2014-05-01,000620
2014-05-01,000626
2014-05-01,000631
2014-05-01,000656
2014-05-01,000666
2014-05-01,000679
2014-05-01,000700
2014-05-01,000726
2014-05-01,000732
2014-05-01,000753
2014-05-01,000767
2014-05-01,000786
2014-05-01,000789
2014-05-01,000809
2014-05-01,000828
2014-05-01,000858
2014-05-01,000863
2014-05-01,000876
2014-05-01,000899
2014-05-01,000905
2014-05-01,000951
2014-05-01,000961
2014-05-01,000966
2014-05-01,000981
2014-05-01,000987
2014-05-01,001914
2014-05-01,002003
2014-05-01,002037
2014-05-01,002048
2014-05-01,002128
2014-05-01,002142
2014-05-01,002146
2014-05-01,002208
2014-05-01,002233
2014-05-01,002244
2014-05-01,002302
2014-05-01,002394
2014-05-01,002454
2014-05-01,002628
2014-05-01,002662
2014-05-01,600000
2014-05-01,600004
2014-05-01,600009
2014-05-01,600011
2014-05-01,600012
2014-05-01,600015
2014-05-01,600016
2014-05-01,600021
2014-05-01,600027
2014-05-01,600028
2014-05-01,600036
2014-05-01,600048
2014-05-01,600060
2014-05-01,600067
2014-05-01,600068
2014-05-01,600070
2014-05-01,600077
2014-05-01,600104
2014-05-01,600106
2014-05-01,600120
2014-05-01,600138
2014-05-01,600153
2014-05-01,600159
2014-05-01,600170
2014-05-01,600183
2014-05-01,600185
2014-05-01,600240
2014-05-01,600246
2014-05-01,600266
2014-05-01,600270
2014-05-01,600284
2014-05-01,600327
2014-05-01,600350
2014-05-01,600377
2014-05-01,600382
2014-05-01,600383
2014-05-01,600396
2014-05-01,600403
2014-05-01,600418
2014-05-01,600469
2014-05-01,600487
2014-05-01,600496
2014-05-01,600507
2014-05-01,600512
2014-05-01,600522
2014-05-01,600561
2014-05-01,600578
2014-05-01,600580
2014-05-01,600582
2014-05-01,600585
2014-05-01,600622
2014-05-01,600628
2014-05-01,600642
2014-05-01,600655
2014-05-01,600665
2014-05-01,600668
2014-05-01,600684
2014-05-01,600688
2014-05-01,600694
2014-05-01,600697
2014-05-01,600704
2014-05-01,600720
2014-05-01,600723
2014-05-01,600724
2014-05-01,600741
2014-05-01,600742
2014-05-01,600743
2014-05-01,600755
2014-05-01,600761
2014-05-01,600778
2014-05-01,600785
2014-05-01,600790
2014-05-01,600791
2014-05-01,600795
2014-05-01,600801
2014-05-01,600805
2014-05-01,600811
2014-05-01,600820
2014-05-01,600823
2014-05-01,600859
2014-05-01,600863
2014-05-01,600864
2014-05-01,600875
2014-05-01,600886
2014-05-01,600897
2014-05-01,600900
2014-05-01,600982
2014-05-01,600987
2014-05-01,601000
2014-05-01,601006
2014-05-01,601009
2014-05-01,601088
2014-05-01,601117
2014-05-01,601166
2014-05-01,601169
2014-05-01,601186
2014-05-01,601288
2014-05-01,601299
2014-05-01,601318
2014-05-01,601328
2014-05-01,601336
2014-05-01,601369
2014-05-01,601390
2014-05-01,601398
2014-05-01,601518
2014-05-01,601566
2014-05-01,601567
2014-05-01,601636
2014-05-01,601668
2014-05-01,601669
2014-05-01,601727
2014-05-01,601766
2014-05-01,601800
2014-05-01,601818
2014-05-01,601857
2014-05-01,601939
2014-05-01,601988
2014-05-01,601992
2014-05-01,601998
2015-05-01,000001
2015-05-01,000002
2015-05-01,000006
2015-05-01,000024
2015-05-01,000027
2015-05-01,000030
2015-05-01,000039
2015-05-01,000043
2015-05-01,000069
2015-05-01,000090
2015-05-01,000100
2015-05-01,000338
2015-05-01,000402
2015-05-01,000404
2015-05-01,000415
2015-05-01,000417
2015-05-01,000418
2015-05-01,000421
2015-05-01,000501
2015-05-01,000537
2015-05-01,000539
2015-05-01,000543
2015-05-01,000600
2015-05-01,000620
2015-05-01,000626
2015-05-01,000631
2015-05-01,000666
2015-05-01,000681
2015-05-01,000690
2015-05-01,000701
2015-05-01,000719
2015-05-01,000726
2015-05-01,000767
2015-05-01,000786
2015-05-01,000789
2015-05-01,000828
2015-05-01,000858
2015-05-01,000876
2015-05-01,000899
2015-05-01,000951
2015-05-01,000981
2015-05-01,001896
2015-05-01,001914
2015-05-01,002001
2015-05-01,002003
2015-05-01,002010
2015-05-01,002019
2015-05-01,002028
2015-05-01,002033
2015-05-01,002037
2015-05-01,002039
2015-05-01,002047
2015-05-01,002048
2015-05-01,002142
2015-05-01,002146
2015-05-01,002208
